product_code,product_name
Bathroom_Tissue_10000085,洁柔蝴蝶卫生卷纸(条)
Bathroom_Tissue_10000086,洁柔蝴蝶迷你手帕纸
Bathroom_Tissue_10000087,洁柔CS国际版迷你帕纸
Bathroom_Tissue_10000088,贝柔极品卷纸(条)
Bathroom_Tissue_10000089,洁柔极品卷纸(条)
Bathroom_Tissue_10000090,维达红色卷纸(条)
Bathroom_Tissue_10000091,美佳常伴卷纸(条)
Bathroom_Tissue_10000092,洁柔太阳环保卷纸(条)
Bathroom_Tissue_10000093,美佳常伴手帕纸(条)
Bathroom_Tissue_10000094,新花卷纸(条)
Bathroom_Tissue_10000095,雅洁莉宝蓝卷纸
Bathroom_Tissue_10000096,雅洁莉飘逸条装卷纸1*10
Bathroom_Tissue_10000097,洁柔卡通迷你纸巾
Bathroom_Tissue_10000098,洁柔蓝面子迷你纸巾
Bathroom_Tissue_10000099,深洁丽精装特惠卷纸
Bathroom_Tissue_10000100,欢笑好印象方巾纸
Bathroom_Tissue_10000101,贝柔家乐压花无芯卷纸送小纸巾3包
Bathroom_Tissue_10000102,清风欧院清香手帕纸B66AS
Bathroom_Tissue_10000103,清风餐巾纸B75AHS
Bathroom_Tissue_10000104,纯点特惠装卷纸103G
Bathroom_Tissue_10000105,碧绿湾二层卷纸
Bathroom_Tissue_10000106,纯点纸手帕
Bathroom_Tissue_10000107,洁柔太阳青蛙卷纸
Bathroom_Tissue_10000108,好又好方巾纸
Bathroom_Tissue_10000109,欢笑熊平板方巾纸
Bathroom_Tissue_10000110,EC-2薄荷湿手帕
Bathroom_Tissue_10000111,心相印牵牛花餐巾纸
Bathroom_Tissue_10000112,天湖温柔乡金蝴蝶方巾纸
Bathroom_Tissue_10000113,清风冬夏花韵卷纸(B22AB3B)
Bathroom_Tissue_10000114,好家风超柔卷纸10卷装(条)
Bathroom_Tissue_10000115,洁柔花特惠装卷纸(条)
Bathroom_Tissue_10000116,深洁丽紫花香卷纸
Bathroom_Tissue_10000117,深洁丽紫花香6卷装卷纸
Bathroom_Tissue_10000118,深洁丽紫花香平板方巾纸
Bathroom_Tissue_10000119,舒洁迪士尼迷你纸手帕
Bathroom_Tissue_10000120,舒洁3层可可家族印花迷你手帕纸单包
Bathroom_Tissue_10000121,舒洁迪士尼迷你纸手帕
Bathroom_Tissue_10000122,舒洁3层可可家族迷你手帕纸
Bathroom_Tissue_10000123,洁柔太阳方巾纸350G
Bathroom_Tissue_10000124,洁柔JM036-01face百花香味迷你手帕纸
Bathroom_Tissue_10000125,深洁丽情迷手帕纸
Bathroom_Tissue_10000126,深洁丽紫花香迷你手帕纸1*10
Bathroom_Tissue_10000127,清风卷纸(10+2)
Bathroom_Tissue_10000128,香飘飘方巾纸
Bathroom_Tissue_10000129,贝柔芦荟2卷纸
Bathroom_Tissue_10000130,贝柔芦荟精华加倍呵护卫生卷纸
Bathroom_Tissue_10000131,心相印特柔3层90G卷纸
Bathroom_Tissue_10000132,贝柔新3层宝宝卷纸
Bathroom_Tissue_10000133,洁柔JM044-05布艺迷你面巾纸
Bathroom_Tissue_10000134,N洁柔JB011钱包式纸手帕
Bathroom_Tissue_10000135,维达V0038迷你手帕纸
Bathroom_Tissue_10000136,维达雅致3层卷纸
Bathroom_Tissue_10000137,维达V4083雅致3层卷纸
Bathroom_Tissue_10000138,维达2层至有份量卷纸*10卷装
Bathroom_Tissue_10000139,维达3层至有份量卷纸
Bathroom_Tissue_10000140,洁柔C@S迷你纸巾
Bathroom_Tissue_10000141,洁柔太阳BB纸
Bathroom_Tissue_10000142,洁柔太阳120型卷纸
Bathroom_Tissue_10000143,纯点2层200节卫生卷纸
Bathroom_Tissue_10000144,纯点经典卫生卷纸133G
Bathroom_Tissue_10000145,纯点经典3层迷你纸手帕
